id,viewCount,subscriberCount,videoCount,keywords
UCE_M8A5yxnLfW0KghEeajjw,1202272459,19100000,188,"Apple iPhone TV ""iPad Pro"" Mac iPod Watch MacBook HomePod"
UChIs72whgZI9w6d6FhwGGHA,629683441,2220000,2956,"""Gamers Nexus"" ""hardware guide"" ""how to PC building"" ""computer hardware"" ""pc builds"" ""game previews"" ""game trailers"" ""hardware guides"" ""gaming reviews"" ""game review"" ""game preview"""
UCXuqSBlHAE6Xw-yeJA0Tunw,7862406504,15700000,6906,Unboxing Review Computer Hardware Motherboard Intel AMD NVIDIA gaming
UCVYamHliCI9rw1tHR1xbkfw,797484949,3660000,759,Technology reviews laptop gaming iphone android phones apple
UCzpCc5n9hqiVC7HhPwcIKEg,1391035373,4250000,2353,"""good mythical morning"" rhettandlink mythical rhett mclaughlin link neal ""will it"" blind ""taste test"" tournament stevie wynne levine josh scherer chase emily jordan ""cotton candy randy"" international dart game test experiment challenge food feuds snacks shuffleboard ""what’s the best"" ""what’s the worst"" frozen fast fancy ""we tried every"" ""gut check"" discontinued snacks products ""flavor match"" ""food crimes"" ""find the name brand"" scornhole ""cheap vs expensive"" ""naked foods"" gmmore more"
UCEcrRXW3oEYfUctetZTAWLw,59366503,403000,201,"Waveform WVFRM ""Waveform podcast"" MKBHD Marques Brownlee Andrew Manganelli smartphones phones ""David Imel"" David Imel Android iPhone Apple Google iOS Pixel"
UCtMVHI3AJD4Qk4hcbZnI9ZQ,1163533534,3740000,3077,"Gamers Ordinary Some Gaming Mutahar We'll Add More Don't ""Playstation 3"" ""XBOX 360"" Wii Legend Of Zelda Ocarina Time Creepypastas Deep Web Gameplay"
UCeeFfhMcJa1kjtfZAGskOCA,525687717,1880000,1004,netlinked tech news pc computer gaming mobile phone desktop laptop apple mac
UCjtUS7-SZTi6pXjUbzGHQCg,178701566,1420000,315,"technology tech reviews ev ""smart home"" ""green technology"" ""home automation"" automation sustainability ""sustainable tech"" tesla"
UCJquYOG5EL82sKTfH9aMA9Q,891415634,4280000,1498,"""music theory"" ""jazz improvisation"" guitar piano lesson lecture ""perfect pitch"" learn ""film scoring"" ""music production"" ""What Makes This Song Great?"""
UC7Jwj9fkrf1adN4fMmTkpug,390328215,1630000,442,"Tips and Tricks ""ipod classic"" ""ipod mods"""
UC1yNl2E66ZzKApQdRuTQ4tw,174317026,1370000,566,"science ""science news"" hossenfelder ""sabine hossenfelder"" physics technology ""technology news"" research ""science reviews"" ""science briefs"" ""science short summaries"" ""science briefing"" ""science explainers"" ""science simple"" ""all you need to know"" ""research news"" ""scientific research"" ""brief science summaries"""
UCvJJ_dzjViJCoLf5uKUTwoA,1599290415,3500000,15321,"CNBC ""business news"" ""jim cramer"" ""mad money"" ""young money"" ""Landon Dowdy"" ""stock market"" earnings ""wall street"" ""money investment"" ""personal finance"" investing politics echnology"
