Unnamed: 0,title,channelId,thumbnailUrl,videoId,type_video,viewCount,subscriberCount,videoCount,keywords,views/subscriber
0,Galaxy S23 / Ultra Impressions: Cruise Control!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/9kxTOxDGLqs/mqdefault.jpg,9kxTOxDGLqs,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
1,Galaxy S22 Impressions: 1 Real Downgrade!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/vax8FCuQUsE/mqdefault.jpg,vax8FCuQUsE,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
2,The In-Glass Fingerprint Reader: Explained!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/dRtqFjYYUY0/mqdefault.jpg,dRtqFjYYUY0,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
3,Apple AirPods Review: Fully Wireless!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/KftNp6hdO5g/mqdefault.jpg,KftNp6hdO5g,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
4,iPad Air 2020: The Real iPad Pro Killer!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/nDy32xoXM4o/mqdefault.jpg,nDy32xoXM4o,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
5,Apple Card Unboxing &amp; Impressions!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/lj7kFBz-jw4/mqdefault.jpg,lj7kFBz-jw4,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
6,PowerBeats Pro Review: Better than AirPods!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/JdTBIHX-r0M/mqdefault.jpg,JdTBIHX-r0M,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
7,The New iPad is Weird!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/C6Ni9rH6VmA/mqdefault.jpg,C6Ni9rH6VmA,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
8,"Samsung Galaxy S21 Impressions: New Year, New Price!",UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/wUBy2W1iKpo/mqdefault.jpg,wUBy2W1iKpo,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
9,15&quot; MacBook Air M2 Review: The Obvious Thing!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/1TCuf_Qcfv8/mqdefault.jpg,1TCuf_Qcfv8,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
10,iPad Mini 2021 Review: Pocketable Power!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/T-UhbAcZd3I/mqdefault.jpg,T-UhbAcZd3I,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
11,Nothing Ear(1) Review: Transparent Buds!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/6E9cdgMvQT0/mqdefault.jpg,6E9cdgMvQT0,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
12,Google Pixel 6A Review: Can You Feel It?,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/UsD87v8F914/mqdefault.jpg,UsD87v8F914,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
13,Sony WH1000XM3 Review: A New ANC King!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/I65jo06QinI/mqdefault.jpg,I65jo06QinI,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
14,iPad Air M1 Review: Don&#39;t Choose Wrong!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/pwHNannxolo/mqdefault.jpg,pwHNannxolo,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
15,The iPad&#39;s Odd New Feature,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/DFgYGBtJLnI/mqdefault.jpg,DFgYGBtJLnI,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
16,Why Everyone is Copying AirPods: Explained!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/zHAB4qDsgKY/mqdefault.jpg,zHAB4qDsgKY,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
17,Ford F150 Lightning is the iPhone of Pickup Trucks!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/CkoquiSnqbk/mqdefault.jpg,CkoquiSnqbk,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
18,iPhone 11 Review: Too Easy!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/OoY7zp8GkLI/mqdefault.jpg,OoY7zp8GkLI,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
19,The Hyundai IONIQ 5: I Get It Now!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/d7y9z7pjCRM/mqdefault.jpg,d7y9z7pjCRM,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
